,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
3,3,3,3,73840,L'acajou Bakery and Cafe,498 09th St Ste. C,San Francisco,CA,94103,,,,,73840_20171207,12/7/2017 0:00,71.0,Routine - Unscheduled,73840_20171207_103105,Improper cooling methods,High Risk,20171207,103105,2017-12-07,0,5,0,0,6,0,0
11,11,11,11,82880,Don Pablo,Off The Grid,San Francisco,CA,,,,,,82880_20160309,3/9/2016 0:00,,Structural Inspection,82880_20160309_103148,No thermometers or uncalibrated thermometers,Low Risk,20160309,103148,2016-03-09,0,0,0,3,0,6,2
33,33,33,46,5316,Nick's Lighthouse,Pier 45  Shed B Space 1A,San Francisco,CA,94133,,,,,5316_20171130,11/30/2017 0:00,88.0,Routine - Unscheduled,5316_20171130_103145,Improper storage of equipment utensils or linens,Low Risk,20171130,103145,2017-11-30,0,4,0,0,2,6,4
48,48,48,64,77566,GreenSurge,2301 Market St,San Francisco,CA,94114,,,,14155814131.0,77566_20180223,2/23/2018 0:00,90.0,Routine - Unscheduled,77566_20180223_103177,Non service animal,Low Risk,20180223,103177,2018-02-23,4,0,5,0,0,0,4
53,53,53,71,93968,Pollo Campero,2740 Mission St,San Francisco,CA,94110,,,,14155620801.0,93968_20171120,11/20/2017 0:00,98.0,Routine - Unscheduled,93968_20171120_103142,Unclean nonfood contact surfaces,Low Risk,20171120,103142,2017-11-20,0,1,0,0,0,0,0
58,58,58,80,93815,Little Heaven Deli,2348 Mission Street,San Francisco,CA,94110,,,,,93815_20171102,11/2/2017 0:00,96.0,Routine - Unscheduled,93815_20171102_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20171102,103144,2017-11-02,0,2,0,0,0,0,0
62,62,62,87,86659,Cumaica Coffee Co. #1,2800 California St #102,San Francisco,CA,94115,,,,,86659_20160914,9/14/2016 0:00,90.0,Routine - Unscheduled,86659_20160914_103138,Improper storage use or identification of toxic substances,Low Risk,20160914,103138,2016-09-14,3,0,0,0,0,3,0
63,63,63,88,87099,Corridor,100 Van Ness Ave #A,San Francisco,CA,94102,,,,,87099_20161110,11/10/2016 0:00,94.0,Routine - Unscheduled,87099_20161110_103157,Food safety certificate or food handler card not available,Low Risk,20161110,103157,2016-11-10,0,0,4,0,3,0,0
81,81,81,111,75259,The Battery - Prep Kitchen,717 Battery St Basement,San Francisco,CA,94111,,,,,75259_20160325,3/25/2016 0:00,91.0,Routine - Unscheduled,75259_20160325_103105,Improper cooling methods,High Risk,20160325,103105,2016-03-25,0,0,0,1,1,0,2
95,95,95,127,73889,Khan Toke Thai House,5937 Geary Blvd,San Francisco,CA,94121,,,,14155666654.0,73889_20160322,3/22/2016 0:00,68.0,Routine - Unscheduled,73889_20160322_103132,Improper thawing methods,Moderate Risk,20160322,103132,2016-03-22,0,0,0,0,0,0,8
101,101,101,135,70137,Reveille Coffee Co.,200 Columbus St,San Francisco,CA,94133,,,,,70137_20160511,5/11/2016 0:00,89.0,Routine - Unscheduled,70137_20160511_103139,Improper food storage,Low Risk,20160511,103139,2016-05-11,0,1,0,0,0,3,0
102,102,102,136,86271,Pacific Eatery,977 A North Point St,San Francisco,CA,94109,,,,,86271_20160628,6/28/2016 0:00,87.0,Routine - Unscheduled,86271_20160628_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160628,103124,2016-06-28,0,2,0,0,1,3,0
109,109,109,148,81680,Sharetea,135 04th St,San Francisco,CA,94103,,,,14155220888.0,81680_20160930,9/30/2016 0:00,94.0,Routine - Unscheduled,81680_20160930_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160930,103149,2016-09-30,0,3,0,0,0,2,3
116,116,116,162,77484,Ming Kee Restaurant,1548 Ocean Ave,San Francisco,CA,94112,,,,14155338198.0,77484_20160329,3/29/2016 0:00,88.0,Routine - Unscheduled,77484_20160329_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160329,103144,2016-03-29,0,0,0,0,4,0,5
124,124,124,174,86593,Chestnut Street Coffee Roastery,2331 Chestnut St,San Francisco,CA,94123,,,,14155935282.0,86593_20171207,12/7/2017 0:00,90.0,Routine - Unscheduled,86593_20171207_103138,Improper storage use or identification of toxic substances,Low Risk,20171207,103138,2017-12-07,0,3,0,0,0,2,0
133,133,133,194,82105,Five Sweets,1125 Ocean Ave 102,San Francisco,CA,94112,,,,14155683731.0,82105_20160812,8/12/2016 0:00,90.0,Routine - Unscheduled,82105_20160812_103157,Food safety certificate or food handler card not available,Low Risk,20160812,103157,2016-08-12,0,0,0,3,0,5,4
134,134,134,196,92751,The Grubbies,123 02nd St,San Francisco,CA,94105,,,,,92751_20171117,11/17/2017 0:00,72.0,Routine - Unscheduled,92751_20171117_103129,Insufficient hot water or running water,Moderate Risk,20171117,103129,2017-11-17,0,6,0,0,0,0,0
139,139,139,204,75681,Tokyo Express Battery,77 Battery St Suite 100,San Francisco,CA,94111,,,,,75681_20160608,6/8/2016 0:00,83.0,Routine - Unscheduled,75681_20160608_103103,High risk food holding temperature,High Risk,20160608,103103,2016-06-08,0,8,0,0,0,4,0
151,151,151,225,82945,Smitten Ice Cream,2404 California St,San Francisco,CA,94115,,,,,82945_20160927,9/27/2016 0:00,94.0,Routine - Unscheduled,82945_20160927_103131,Moderate risk vermin infestation,Moderate Risk,20160927,103131,2016-09-27,0,1,0,0,0,2,3
155,155,155,234,80767,Mainland Market Co.,5601 Geary Blvd,San Francisco,CA,94121,,,,14155257919.0,80767_20180223,2/23/2018 0:00,85.0,Routine - Unscheduled,80767_20180223_103162,Other low risk violation,Low Risk,20180223,103162,2018-02-23,4,0,0,0,0,3,3
162,162,162,249,81758,Super Save Supermarket,4517 03rd St,San Francisco,CA,94124,,,,,81758_20160404,4/4/2016 0:00,88.0,Routine - Unscheduled,81758_20160404_103161,Low risk vermin infestation,Low Risk,20160404,103161,2016-04-04,0,7,0,0,0,4,3
165,165,165,254,79829,Aracely Restaurant,401 13th St,San Francisco,CA,94130,,,,,79829_20161207,12/7/2016 0:00,90.0,Routine - Unscheduled,79829_20161207_103120,Moderate risk food holding temperature,Moderate Risk,20161207,103120,2016-12-07,0,0,0,0,4,0,0
168,168,168,259,87932,Dabba,71 Stevenson St #100,San Francisco,CA,94105,,,,,87932_20180228,2/28/2018 0:00,92.0,Routine - Unscheduled,87932_20180228_103134,Other moderate risk violation,Moderate Risk,20180228,103134,2018-02-28,2,0,0,0,3,0,0
172,172,172,265,83553,B On The Go LLC,2794 California St,San Francisco,CA,94115,,,,,83553_20160928,9/28/2016 0:00,92.0,Routine - Unscheduled,83553_20160928_103120,Moderate risk food holding temperature,Moderate Risk,20160928,103120,2016-09-28,2,0,0,0,0,2,0
200,200,200,308,88340,Joyful Kitchen,1919 Ocean Ave,San Francisco,CA,94127,,,,14155331919.0,88340_20160811,8/11/2016 0:00,84.0,Routine - Unscheduled,88340_20160811_103139,Improper food storage,Low Risk,20160811,103139,2016-08-11,0,0,3,0,0,1,0
226,226,226,356,80442,Hearth,3985 17th St,San Francisco,CA,94114,,,,14155511463.0,80442_20171004,10/4/2017 0:00,,Complaint,80442_20171004_103131,Moderate risk vermin infestation,Moderate Risk,20171004,103131,2017-10-04,0,2,0,0,3,0,1
