,business_id,short_inspect_date,risk_category,short_violation_id,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
0,1757,20170928,Moderate Risk,103131,0,0,5,0,0,0,6
1,4864,20161206,Low Risk,103157,0,6,0,0,0,3,5
2,79782,20160503,Moderate Risk,103120,4,0,2,0,0,2,3
3,73840,20171207,High Risk,103105,0,5,0,0,0,0,6
4,76437,20160329,High Risk,103113,0,11,0,0,0,0,6
5,82123,20171207,Moderate Risk,103131,0,3,0,0,0,8,8
6,1146,20180223,High Risk,103103,6,0,0,0,0,0,8
7,3838,20180222,Low Risk,103142,7,0,0,0,0,2,1
8,38929,20160114,Low Risk,103139,0,0,7,0,0,4,3
9,81161,20160325,Low Risk,103149,1,0,3,2,0,2,4
10,85781,20160311,Moderate Risk,103124,6,0,3,0,0,0,5
11,82880,20160309,Low Risk,103148,0,0,0,3,0,0,6
12,16441,20161206,Low Risk,103154,0,6,0,0,0,0,5
13,2716,20160323,Moderate Risk,103131,0,5,0,0,0,0,5
14,3165,20170323,Low Risk,103149,0,0,0,0,0,5,7
15,2995,20170809,Moderate Risk,103125,0,0,5,0,0,0,1
16,64380,20160414,Low Risk,103154,0,0,4,0,0,0,5
17,3594,20160330,Moderate Risk,103133,0,0,0,0,0,0,4
18,5493,20160814,Moderate Risk,103119,0,0,0,0,0,0,2
19,69762,20160413,Moderate Risk,103133,0,6,0,0,0,0,6
20,80081,20170104,Moderate Risk,103120,0,1,0,0,0,0,8
21,62710,20160511,Low Risk,103139,0,0,0,0,0,0,5
22,93150,20171030,Moderate Risk,103124,0,6,0,0,0,0,0
23,4960,20160413,Low Risk,103154,0,3,0,0,0,0,2
24,74922,20160430,Moderate Risk,103119,0,5,0,0,0,0,6
25,66999,20160607,High Risk,103102,5,0,0,0,0,0,3
26,61,20150827,Moderate Risk,103133,0,2,0,0,0,3,1
27,4787,20160628,Moderate Risk,103131,0,5,0,0,0,0,5
28,65066,20160810,High Risk,103105,0,0,6,0,0,0,7
29,82911,20170927,Moderate Risk,103124,0,0,4,0,0,0,3
30,80494,20180227,High Risk,103114,1,0,0,0,0,0,3
31,59577,20160502,Low Risk,103149,3,0,0,6,0,2,4
