,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
0,1757,Dar Bar Pakistani/Indian Cusine,1412 Polk St,San Francisco,CA,94109,37.789784,-122.420455,"(37.789784, -122.420455)",,1757_20170928,9/28/2017 0:00,86.0,Routine - Unscheduled,1757_20170928_103131,Moderate risk vermin infestation,Moderate Risk,20170928,103131,2017-09-28,0,0,5,0,0,6,5
1,4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718.0,4864_20161206,12/6/2016 0:00,84.0,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk,20161206,103157,2016-12-06,0,6,0,0,5,5,3
2,79782,Deli 23,2449 23rd St,San Francisco,CA,94110,,,,,79782_20160503,5/3/2016 0:00,92.0,Routine - Unscheduled,79782_20160503_103120,Moderate risk food holding temperature,Moderate Risk,20160503,103120,2016-05-03,4,0,2,0,3,3,2
3,73840,L'acajou Bakery and Cafe,498 09th St Ste. C,San Francisco,CA,94103,,,,,73840_20171207,12/7/2017 0:00,71.0,Routine - Unscheduled,73840_20171207_103105,Improper cooling methods,High Risk,20171207,103105,2017-12-07,0,5,0,0,6,0,5
4,76437,Sweetheart Cafe,909 Grant Ave,San Francisco,CA,94108,,,,,76437_20160329,3/29/2016 0:00,76.0,Routine - Unscheduled,76437_20160329_103113,Sewage or wastewater contamination,High Risk,20160329,103113,2016-03-29,0,11,0,0,0,6,6
5,82123,Cafe New Honolulu,888 Stockton St,San Francisco,CA,94108,,,,,82123_20171207,12/7/2017 0:00,87.0,Routine - Unscheduled,82123_20171207_103131,Moderate risk vermin infestation,Moderate Risk,20171207,103131,2017-12-07,0,3,0,0,0,8,8
6,1146,Aux Delices Vietnam,2327 Polk St,San Francisco,CA,94109,37.798274,-122.42226399999998,"(37.798274, -122.422264)",,1146_20180223,2/23/2018 0:00,77.0,Routine - Unscheduled,1146_20180223_103103,High risk food holding temperature,High Risk,20180223,103103,2018-02-23,6,0,0,0,0,8,6
7,3838,CAFE PICARO,3120 16th St,San Francisco,CA,94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089.0,3838_20180222,2/22/2018 0:00,72.0,Routine - Unscheduled,3838_20180222_103142,Unclean nonfood contact surfaces,Low Risk,20180222,103142,2018-02-22,7,0,0,0,0,1,2
8,38929,Jelly Donut,3198 24th St,San Francisco,CA,94110,37.752439,-122.41625,"(37.752439, -122.41625)",,38929_20160114,1/14/2016 0:00,88.0,Routine - Unscheduled,38929_20160114_103139,Improper food storage,Low Risk,20160114,103139,2016-01-14,0,0,7,0,3,4,6
9,81161,Limon Peruvian Rotisserie,1001 South Van Ness Ave,San Francisco,CA,94110,,,,14155548833.0,81161_20160325,3/25/2016 0:00,92.0,Routine - Unscheduled,81161_20160325_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160325,103149,2016-03-25,1,0,3,2,4,0,3
